""	"Activity"	"Pvalue"
"Androgen"	-1.83770971099079	0.066105192143529
"EGFR"	0.718988757729171	0.472147846587464
"Estrogen"	-1.3031314261442	0.192529896314338
"Hypoxia"	14.8533291228948	0
"JAK.STAT"	-11.0703875072516	1.7464377328477e-28
"MAPK"	1.83505924725174	0.0664969113463221
"NFkB"	-6.21980079482308	4.97786464653893e-10
"p53"	-0.961987675084769	0.336055795051844
"PI3K"	-3.14381732489476	0.00166759503837422
"TGFb"	0.821642935796108	0.411280145328625
"TNFa"	-3.73907217421766	0.000184700697432875
"Trail"	-1.26916901273511	0.204380790409202
"VEGF"	-2.38970427340083	0.0168619439650704
"WNT"	-1.30726620253677	0.191122318413728
